"taxon","onWebtool"
"Acacia linifolia","Yes"
"Acacia longifolia","Yes"
"Acacia suaveolens","Yes"
"Acacia terminalis","Yes"
"Acacia ulicifolia","Yes"
"Actinotus helianthus","Yes"
"Angophora costata","Yes"
"Angophora floribunda","Yes"
"Angophora hispida","Yes"
"Banksia ericifolia north","No"
"Banksia ericifolia south","No"
"Banksia integrifolia","No"
"Banksia marginata","Yes"
"Banksia serrata","Yes"
"Callicoma serratifolia","Yes"
"Correa alba","Yes"
"Corymbia eximia","Yes"
"Corymbia gummifera","Yes"
"Corymbia intermedia","No"
"Cryptocarya glaucescens","Yes"
"Diploglottis australis","Yes"
"Dodonea triquetra","Yes"
"Doryanthes excelsus","Yes"
"Doryphora sassafras","Yes"
"Elaeocarpus reticulatus","Yes"
"Eucalyptus cunninghamii","Yes"
"Eucalyptus piperita","Yes"
"Eucalyptus punctata","No"
"Eucalyptus sieberi","Yes"
"Hakea sericea","No"
"Hakea teretifolia","Yes"
"Hardenbergia violacea","Yes"
"Melaleuca quinquenervia","Yes"
"Neolitsea dealbata","Yes"
"Orites excelsus","Yes"
"Pittosporum undulatum","No"
"Polyscias murrayi","Yes"
"Rhodamnia rubescens","No"
"Rhodomyrtus psidioides","No"
"Sloanea australis","Yes"
"Syncarpia glomulifera","Yes"
"Telopea speciosissima","Yes"
"Toona ciliata","Yes"
"Tristaniopsis collina","Yes"
"Tristaniopsis laurina","Yes"
"Westringia fruticosa","Yes"
"Wilkiea hugeliana","Yes"
